release_id,fiscal_year,indicator_id,indicator_name,prefecture_code,prefecture_name,cell_state,suppression_subtype,observed_count,count_lower,count_upper,bounds_status,ambiguity_flag
No.2,2015,IND_5220077,血行性歯髄炎,10,群馬県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.2,2015,IND_5220077,血行性歯髄炎,11,埼玉県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.2,2015,IND_5220077,血行性歯髄炎,12,千葉県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.2,2015,IND_5220077,血行性歯髄炎,13,東京都,observed,not_suppressed,111.0,111.0,111.0,point_identified,no
No.2,2015,IND_5220077,血行性歯髄炎,14,神奈川県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.2,2015,IND_5220077,血行性歯髄炎,15,新潟県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.2,2015,IND_5220077,血行性歯髄炎,16,富山県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.2,2015,IND_5220077,血行性歯髄炎,17,石川県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.2,2015,IND_5220077,血行性歯髄炎,18,福井県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.2,2015,IND_5220077,血行性歯髄炎,19,山梨県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.2,2015,IND_5220077,血行性歯髄炎,20,長野県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.2,2015,IND_5220077,血行性歯髄炎,21,岐阜県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.2,2015,IND_5220077,血行性歯髄炎,22,静岡県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.2,2015,IND_5220077,血行性歯髄炎,23,愛知県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.2,2015,IND_5220077,血行性歯髄炎,24,三重県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.2,2015,IND_5220077,血行性歯髄炎,25,滋賀県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.2,2015,IND_5220077,血行性歯髄炎,26,京都府,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.2,2015,IND_5220077,血行性歯髄炎,27,大阪府,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.2,2015,IND_5220077,血行性歯髄炎,28,兵庫県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.2,2015,IND_5220077,血行性歯髄炎,29,奈良県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.2,2015,IND_5220077,血行性歯髄炎,30,和歌山県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.2,2015,IND_5220077,血行性歯髄炎,31,鳥取県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
